playerID,award,year,lgID,note,pos
gadsbbi01,Second Team All-Star,1956,NHL,,D
gadsbbi01,Second Team All-Star,1964,NHL,,D
gagnesi01,All-Rookie,1999,NHL,,F
gainebo01,Conn Smythe,1978,NHL,,
gainebo01,Selke,1977,NHL,,
gainebo01,Selke,1978,NHL,,
gainebo01,Selke,1979,NHL,,
gainebo01,Selke,1980,NHL,,
gallage01,Second Team All-Star,1988,NHL,,LW
gardich01,First Team All-Star,1930,NHL,,G
gardich01,First Team All-Star,1931,NHL,,G
gardich01,First Team All-Star,1933,NHL,,G
gardich01,Second Team All-Star,1932,NHL,,G
gardich01,Vezina,1931,NHL,,
gardich01,Vezina,1933,NHL,,
gardihe01,Hart,1926,NHL,,
gardija01,All-Rookie,2011,NHL,,D
gareda01,Second Team All-Star,1979,NHL,,RW
garrejo01,First Team All-Star,1976,WHA,,G
gelinja01,Calder,1949,NHL,,
geoffbe01,Art Ross,1954,NHL,,
geoffbe01,Art Ross,1960,NHL,,
geoffbe01,Calder,1951,NHL,,
geoffbe01,First Team All-Star,1960,NHL,,RW
geoffbe01,Hart,1960,NHL,,
geoffbe01,Second Team All-Star,1954,NHL,,RW
geoffbe01,Second Team All-Star,1959,NHL,,RW
